Category,Port,Line Item,Period,Value
Domestic Port,APSEZ,EBIT,2024-25,6151
Domestic Port,APSEZ,EBIT,2023-24,4919
Domestic Port,APSEZ,EBIT,2022-23,3979
Domestic Port,APSEZ,EBIT,2021-22,2974
Domestic Port,Hazira,EBIT,2024-25,1375
Domestic Port,Hazira,EBIT,2023-24,1131
Domestic Port,Hazira,EBIT,2022-23,1177
Domestic Port,Hazira,EBIT,2021-22,1146
Domestic Port,Dahej,EBIT,2024-25,415
Domestic Port,Dahej,EBIT,2023-24,435
Domestic Port,Dahej,EBIT,2022-23,423
Domestic Port,Dahej,EBIT,2021-22,248
Domestic Port,Tuna,EBIT,2024-25,-9
Domestic Port,Tuna,EBIT,2023-24,-20
Domestic Port,Tuna,EBIT,2022-23,0
Domestic Port,Tuna,EBIT,2021-22,-34
Domestic Port,Dhamra,EBIT,2024-25,1464
Domestic Port,Dhamra,EBIT,2023-24,1303
Domestic Port,Dhamra,EBIT,2022-23,922
Domestic Port,Dhamra,EBIT,2021-22,878
Domestic Port,Kattupalli,EBIT,2024-25,209
Domestic Port,Kattupalli,EBIT,2023-24,158
Domestic Port,Kattupalli,EBIT,2022-23,133
Domestic Port,Kattupalli,EBIT,2021-22,38
Domestic Port,Dighi,EBIT,2024-25,-17
Domestic Port,Dighi,EBIT,2023-24,-32
Domestic Port,Dighi,EBIT,2022-23,-41
Domestic Port,Dighi,EBIT,2021-22,-30
Domestic Port,Goa,EBIT,2024-25,154
Domestic Port,Goa,EBIT,2023-24,35
Domestic Port,Goa,EBIT,2022-23,2
Domestic Port,Goa,EBIT,2021-22,2
Domestic Port,Ennore,EBIT,2024-25,0
Domestic Port,Ennore,EBIT,2023-24,36
Domestic Port,Ennore,EBIT,2022-23,7
Domestic Port,Ennore,EBIT,2021-22,22
Domestic Port,Krishnapatnam,EBIT,2024-25,1744
Domestic Port,Krishnapatnam,EBIT,2023-24,2064
Domestic Port,Krishnapatnam,EBIT,2022-23,1521
Domestic Port,Krishnapatnam,EBIT,2021-22,1169
Domestic Port,Karaikal,EBIT,2024-25,372
Domestic Port,Karaikal,EBIT,2023-24,313
Domestic Port,Karaikal,EBIT,2022-23,0
Domestic Port,Karaikal,EBIT,2021-22,0
Domestic Port,Gangavaram,EBIT,2024-25,233
Domestic Port,Gangavaram,EBIT,2023-24,719
Domestic Port,Gangavaram,EBIT,2022-23,699
Domestic Port,Gangavaram,EBIT,2021-22,0
Domestic Port,Vizhinjam,EBIT,2024-25,304
Domestic Port,Vizhinjam,EBIT,2023-24,0
Domestic Port,Vizhinjam,EBIT,2022-23,0
Domestic Port,Vizhinjam,EBIT,2021-22,0
Domestic Port,Gopalpur,EBIT,2024-25,60
Domestic Port,Gopalpur,EBIT,2023-24,0
Domestic Port,Gopalpur,EBIT,2022-23,0
Domestic Port,Gopalpur,EBIT,2021-22,0
Domestic Port,Domestic Port,EBIT,2024-25,12456
Domestic Port,Domestic Port,EBIT,2023-24,11060
Domestic Port,Domestic Port,EBIT,2022-23,8822
Domestic Port,Domestic Port,EBIT,2021-22,6414
Logistics,Logistics,EBIT,2024-25,300
Logistics,Logistics,EBIT,2023-24,258
Logistics,Logistics,EBIT,2022-23,267
Logistics,Logistics,EBIT,2021-22,106
Consolidated FS,Consolidated FS,EBIT,2024-25,14639
Consolidated FS,Consolidated FS,EBIT,2023-24,11975
Consolidated FS,Consolidated FS,EBIT,2022-23,9410
Consolidated FS,Consolidated FS,EBIT,2021-22,7507
International Ports,Haifa,EBIT,2024-25,203
International Ports,Haifa,EBIT,2023-24,108
International Ports,Haifa,EBIT,2022-23,0
International Ports,Haifa,EBIT,2021-22,0
International Ports,Tanzania,EBIT,2024-25,-49
International Ports,Tanzania,EBIT,2023-24,0
International Ports,Tanzania,EBIT,2022-23,0
International Ports,Tanzania,EBIT,2021-22,0
International Ports,Abbot,EBIT,2024-25,68
International Ports,Abbot,EBIT,2023-24,62
International Ports,Abbot,EBIT,2022-23,0
International Ports,Abbot,EBIT,2021-22,0
International Ports,International Ports,EBIT,2024-25,223
International Ports,International Ports,EBIT,2023-24,170
International Ports,International Ports,EBIT,2022-23,0
International Ports,International Ports,EBIT,2021-22,0
Marine,OSL,EBIT,2024-25,286
Marine,OSL,EBIT,2023-24,276
Marine,OSL,EBIT,2022-23,214
Marine,OSL,EBIT,2021-22,0
Marine,ASTRO,EBIT,2024-25,418
Marine,ASTRO,EBIT,2023-24,0
Marine,ASTRO,EBIT,2022-23,0
Marine,ASTRO,EBIT,2021-22,0
Marine,TAHID,EBIT,2024-25,-30
Marine,TAHID,EBIT,2023-24,-42
Marine,TAHID,EBIT,2022-23,0
Marine,TAHID,EBIT,2021-22,0
Marine,Marine,EBIT,2024-25,675
Marine,Marine,EBIT,2023-24,234
Marine,Marine,EBIT,2022-23,214
Marine,Marine,EBIT,2021-22,0
Domestic Port,APSEZ,Capital Employed,2024-25,16895
Domestic Port,APSEZ,Capital Employed,2023-24,17470
Domestic Port,APSEZ,Capital Employed,2022-23,20179
Domestic Port,APSEZ,Capital Employed,2021-22,19070
Domestic Port,Hazira,Capital Employed,2024-25,4450
Domestic Port,Hazira,Capital Employed,2023-24,5608
Domestic Port,Hazira,Capital Employed,2022-23,6323
Domestic Port,Hazira,Capital Employed,2021-22,5933
Domestic Port,Dahej,Capital Employed,2024-25,1103
Domestic Port,Dahej,Capital Employed,2023-24,1320
Domestic Port,Dahej,Capital Employed,2022-23,1275
Domestic Port,Dahej,Capital Employed,2021-22,1063
Domestic Port,Tuna,Capital Employed,2024-25,572
Domestic Port,Tuna,Capital Employed,2023-24,633
Domestic Port,Tuna,Capital Employed,2022-23,590
Domestic Port,Tuna,Capital Employed,2021-22,677
Domestic Port,Dhamra,Capital Employed,2024-25,6583
Domestic Port,Dhamra,Capital Employed,2023-24,6346
Domestic Port,Dhamra,Capital Employed,2022-23,6892
Domestic Port,Dhamra,Capital Employed,2021-22,7140
Domestic Port,Kattupalli,Capital Employed,2024-25,2385
Domestic Port,Kattupalli,Capital Employed,2023-24,2347
Domestic Port,Kattupalli,Capital Employed,2022-23,2319
Domestic Port,Kattupalli,Capital Employed,2021-22,2322
Domestic Port,Dighi,Capital Employed,2024-25,1054
Domestic Port,Dighi,Capital Employed,2023-24,904
Domestic Port,Dighi,Capital Employed,2022-23,832
Domestic Port,Dighi,Capital Employed,2021-22,0
Domestic Port,Goa,Capital Employed,2024-25,159
Domestic Port,Goa,Capital Employed,2023-24,95
Domestic Port,Goa,Capital Employed,2022-23,102
Domestic Port,Goa,Capital Employed,2021-22,139
Domestic Port,Ennore,Capital Employed,2024-25,0
Domestic Port,Ennore,Capital Employed,2023-24,615
Domestic Port,Ennore,Capital Employed,2022-23,680
Domestic Port,Ennore,Capital Employed,2021-22,729
Domestic Port,Krishnapatnam,Capital Employed,2024-25,11814
Domestic Port,Krishnapatnam,Capital Employed,2023-24,12684
Domestic Port,Krishnapatnam,Capital Employed,2022-23,13314
Domestic Port,Krishnapatnam,Capital Employed,2021-22,12607
Domestic Port,Karaikal,Capital Employed,2024-25,1673
Domestic Port,Karaikal,Capital Employed,2023-24,1599
Domestic Port,Karaikal,Capital Employed,2022-23,0
Domestic Port,Karaikal,Capital Employed,2021-22,0
Domestic Port,Gangavaram,Capital Employed,2024-25,6346
Domestic Port,Gangavaram,Capital Employed,2023-24,6399
Domestic Port,Gangavaram,Capital Employed,2022-23,6426
Domestic Port,Gangavaram,Capital Employed,2021-22,0
Domestic Port,Vizhinjam,Capital Employed,2024-25,3547
Domestic Port,Vizhinjam,Capital Employed,2023-24,3160
Domestic Port,Vizhinjam,Capital Employed,2022-23,0
Domestic Port,Vizhinjam,Capital Employed,2021-22,0
Domestic Port,Gopalpur,Capital Employed,2024-25,1888
Domestic Port,Gopalpur,Capital Employed,2023-24,0
Domestic Port,Gopalpur,Capital Employed,2022-23,0
Domestic Port,Gopalpur,Capital Employed,2021-22,0
Domestic Port,Domestic Port,Capital Employed,2024-25,58470
Domestic Port,Domestic Port,Capital Employed,2023-24,59180
Domestic Port,Domestic Port,Capital Employed,2022-23,58933
Domestic Port,Domestic Port,Capital Employed,2021-22,49679
Logistics,Logistics,Capital Employed,2024-25,5211.48
Logistics,Logistics,Capital Employed,2023-24,5602
Logistics,Logistics,Capital Employed,2022-23,4389
Logistics,Logistics,Capital Employed,2021-22,3584
Consolidated FS,Consolidated FS,Capital Employed,2024-25,96650
Consolidated FS,Consolidated FS,Capital Employed,2023-24,88958
Consolidated FS,Consolidated FS,Capital Employed,2022-23,80503
Consolidated FS,Consolidated FS,Capital Employed,2021-22,67320
International Ports,Haifa,Capital Employed,2024-25,3326
International Ports,Haifa,Capital Employed,2023-24,2712
International Ports,Haifa,Capital Employed,2022-23,0
International Ports,Haifa,Capital Employed,2021-22,0
International Ports,Tanzania,Capital Employed,2024-25,487
International Ports,Tanzania,Capital Employed,2023-24,0
International Ports,Tanzania,Capital Employed,2022-23,0
International Ports,Tanzania,Capital Employed,2021-22,0
International Ports,Abbot,Capital Employed,2024-25,198
International Ports,Abbot,Capital Employed,2023-24,149
International Ports,Abbot,Capital Employed,2022-23,0
International Ports,Abbot,Capital Employed,2021-22,0
International Ports,International Ports,Capital Employed,2024-25,4010
International Ports,International Ports,Capital Employed,2023-24,2861
International Ports,International Ports,Capital Employed,2022-23,0
International Ports,International Ports,Capital Employed,2021-22,0
Marine,OSL,Capital Employed,2024-25,1675
Marine,OSL,Capital Employed,2023-24,1560
Marine,OSL,Capital Employed,2022-23,1499
Marine,OSL,Capital Employed,2021-22,0
Marine,ASTRO,Capital Employed,2024-25,2748
Marine,ASTRO,Capital Employed,2023-24,0
Marine,ASTRO,Capital Employed,2022-23,0
Marine,ASTRO,Capital Employed,2021-22,0
Marine,TAHID,Capital Employed,2024-25,803
Marine,TAHID,Capital Employed,2023-24,353
Marine,TAHID,Capital Employed,2022-23,0
Marine,TAHID,Capital Employed,2021-22,0
Marine,Marine,Capital Employed,2024-25,5226
Marine,Marine,Capital Employed,2023-24,1914
Marine,Marine,Capital Employed,2022-23,1499
Marine,Marine,Capital Employed,2021-22,0
Domestic Port,APSEZ,ROCE,2024-25,36%
Domestic Port,APSEZ,ROCE,2023-24,28%
Domestic Port,APSEZ,ROCE,2022-23,20%
Domestic Port,APSEZ,ROCE,2021-22,16%
Domestic Port,Hazira,ROCE,2024-25,31%
Domestic Port,Hazira,ROCE,2023-24,20%
Domestic Port,Hazira,ROCE,2022-23,19%
Domestic Port,Hazira,ROCE,2021-22,19%
Domestic Port,Dahej,ROCE,2024-25,38%
Domestic Port,Dahej,ROCE,2023-24,33%
Domestic Port,Dahej,ROCE,2022-23,33%
Domestic Port,Dahej,ROCE,2021-22,23%
Domestic Port,Tuna,ROCE,2024-25,-2%
Domestic Port,Tuna,ROCE,2023-24,-3%
Domestic Port,Tuna,ROCE,2022-23,0%
Domestic Port,Tuna,ROCE,2021-22,-5%
Domestic Port,Dhamra,ROCE,2024-25,22%
Domestic Port,Dhamra,ROCE,2023-24,21%
Domestic Port,Dhamra,ROCE,2022-23,13%
Domestic Port,Dhamra,ROCE,2021-22,12%
Domestic Port,Kattupalli,ROCE,2024-25,9%
Domestic Port,Kattupalli,ROCE,2023-24,7%
Domestic Port,Kattupalli,ROCE,2022-23,6%
Domestic Port,Kattupalli,ROCE,2021-22,2%
Domestic Port,Dighi,ROCE,2024-25,-2%
Domestic Port,Dighi,ROCE,2023-24,-4%
Domestic Port,Dighi,ROCE,2022-23,-5%
Domestic Port,Dighi,ROCE,2021-22,0%
Domestic Port,Goa,ROCE,2024-25,97%
Domestic Port,Goa,ROCE,2023-24,37%
Domestic Port,Goa,ROCE,2022-23,2%
Domestic Port,Goa,ROCE,2021-22,2%
Domestic Port,Ennore,ROCE,2024-25,0%
Domestic Port,Ennore,ROCE,2023-24,6%
Domestic Port,Ennore,ROCE,2022-23,1%
Domestic Port,Ennore,ROCE,2021-22,3%
Domestic Port,Krishnapatnam,ROCE,2024-25,15%
Domestic Port,Krishnapatnam,ROCE,2023-24,16%
Domestic Port,Krishnapatnam,ROCE,2022-23,11%
Domestic Port,Krishnapatnam,ROCE,2021-22,9%
Domestic Port,Karaikal,ROCE,2024-25,22%
Domestic Port,Karaikal,ROCE,2023-24,20%
Domestic Port,Karaikal,ROCE,2022-23,0%
Domestic Port,Karaikal,ROCE,2021-22,0%
Domestic Port,Gangavaram,ROCE,2024-25,4%
Domestic Port,Gangavaram,ROCE,2023-24,11%
Domestic Port,Gangavaram,ROCE,2022-23,11%
Domestic Port,Gangavaram,ROCE,2021-22,0%
Domestic Port,Vizhinjam,ROCE,2024-25,9%
Domestic Port,Vizhinjam,ROCE,2023-24,0%
Domestic Port,Vizhinjam,ROCE,2022-23,0%
Domestic Port,Vizhinjam,ROCE,2021-22,0%
Domestic Port,Gopalpur,ROCE,2024-25,3%
Domestic Port,Gopalpur,ROCE,2023-24,0%
Domestic Port,Gopalpur,ROCE,2022-23,0%
Domestic Port,Gopalpur,ROCE,2021-22,0%
Domestic Port,Domestic Port,ROCE,2024-25,21%
Domestic Port,Domestic Port,ROCE,2023-24,19%
Domestic Port,Domestic Port,ROCE,2022-23,15%
Domestic Port,Domestic Port,ROCE,2021-22,13%
Logistics,Logistics,ROCE,2024-25,6%
Logistics,Logistics,ROCE,2023-24,5%
Logistics,Logistics,ROCE,2022-23,6.10%
Logistics,Logistics,ROCE,2021-22,3.00%
Consolidated FS,Consolidated FS,ROCE,2024-25,15%
Consolidated FS,Consolidated FS,ROCE,2023-24,13.50%
Consolidated FS,Consolidated FS,ROCE,2022-23,11.70%
Consolidated FS,Consolidated FS,ROCE,2021-22,11.20%
International Ports,Haifa,ROCE,2024-25,6%
International Ports,Haifa,ROCE,2023-24,4%
International Ports,Haifa,ROCE,2022-23,0%
International Ports,Haifa,ROCE,2021-22,0%
International Ports,Tanzania,ROCE,2024-25,-10%
International Ports,Tanzania,ROCE,2023-24,0%
International Ports,Tanzania,ROCE,2022-23,0%
International Ports,Tanzania,ROCE,2021-22,0%
International Ports,Abbot,ROCE,2024-25,34%
International Ports,Abbot,ROCE,2023-24,42%
International Ports,Abbot,ROCE,2022-23,0%
International Ports,Abbot,ROCE,2021-22,0%
International Ports,International Ports,ROCE,2024-25,6%
International Ports,International Ports,ROCE,2023-24,6%
International Ports,International Ports,ROCE,2022-23,0%
International Ports,International Ports,ROCE,2021-22,0%
Marine,OSL,ROCE,2024-25,17%
Marine,OSL,ROCE,2023-24,18%
Marine,OSL,ROCE,2022-23,14%
Marine,OSL,ROCE,2021-22,0%
Marine,ASTRO,ROCE,2024-25,15%
Marine,ASTRO,ROCE,2023-24,0%
Marine,ASTRO,ROCE,2022-23,0%
Marine,ASTRO,ROCE,2021-22,0%
Marine,TAHID,ROCE,2024-25,-4%
Marine,TAHID,ROCE,2023-24,-12%
Marine,TAHID,ROCE,2022-23,0%
Marine,TAHID,ROCE,2021-22,0%
Marine,Marine,ROCE,2024-25,13%
Marine,Marine,ROCE,2023-24,12%
Marine,Marine,ROCE,2022-23,14%
Marine,Marine,ROCE,2021-22,0%